Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2003-05-16,258.917,261.183,245.366,251.381,1045.405545427
2003-05-19,246.113,246.499,225.055,239.351,1899.524118712
2003-05-20,233.704,233.704,226.547,231.825,933.08005597153
2003-05-21,229.936,240.097,229.936,240.097,964.21979562255
2003-05-22,240.852,242.355,237.841,240.097,271.36058838743
2003-05-23,242.355,242.355,234.828,239.351,216.86604399815
2003-05-26,237.094,238.586,237.094,238.586,54.494544389279
2003-05-27,234.828,238.586,234.828,238.586,222.42671179297
2003-05-28,238.586,242.355,238.586,240.097,114.54975657339
2003-05-29,240.852,248.37,236.329,248.37,322.51873209981
2003-05-30,248.37,252.137,244.611,252.137,798.51189533678
2003-06-02,254.394,254.394,247.992,247.992,196.84763993678
2003-06-03,244.611,248.37,242.355,247.992,394.80741343253
2003-06-04,247.623,247.623,245.366,246.877,98.979886747874
2003-06-05,246.113,246.877,246.113,246.877,30.027606092052
2003-06-06,246.877,246.877,245.366,245.366,147.91376334232
2003-06-09,244.234,245.366,232.94,240.852,475.99316323697
2003-06-10,239.351,240.097,234.063,237.094,491.56303306247
2003-06-11,234.441,238.586,234.441,236.329,135.68029419371
2003-06-12,237.841,239.71,234.828,234.828,538.27264253899
2003-06-13,235.584,237.841,235.584,237.841,32.251873209981
2003-06-16,240.097,243.847,236.329,242.742,1404.6246849727
2003-06-17,242.355,242.742,239.351,242.742,749.57801874233
2003-06-18,240.852,245.366,240.852,245.366,391.47101275563
2003-06-20,245.366,245.366,244.611,244.611,111.21335589649
2003-06-23,246.877,248.37,245.366,248.37,1587.0145886429
2003-06-24,248.37,248.37,244.611,246.877,528.26344050832
2003-06-25,246.113,246.113,242.355,244.611,276.92125618226
2003-06-26,244.611,246.877,244.611,246.877,597.21572116414
2003-06-27,244.234,247.255,244.234,245.366,201.29617417265
2003-06-30,244.611,246.499,244.611,246.499,320.29446498188
2003-07-01,243.486,246.113,243.486,245.007,280.25765685915
2003-07-02,244.611,245.007,243.1,245.007,292.49112600776
2003-07-03,243.1,246.877,240.852,246.877,319.18233142292
2003-07-04,246.499,255.528,244.611,255.528,687.29853944029
2003-07-07,254.394,263.439,254.394,263.439,635.02826216894
2003-07-08,255.905,278.465,254.781,278.465,1086.5544871087
2003-07-09,285.631,285.999,280.363,280.363,14889.244087422
2003-07-10,279.228,282.997,276.216,282.997,1532.5200442536
2003-07-11,278.86,278.86,276.603,276.603,43.37320879963
2003-07-14,276.216,278.465,271.712,278.465,260.23925279778
2003-07-15,274.714,282.25,274.714,276.981,318.07019786396
2003-07-16,274.714,282.25,274.714,282.25,546.05757745175
2003-07-17,282.25,293.544,282.25,292.797,1222.2347813023
2003-07-18,293.544,301.061,287.888,301.061,2106.3809606795
2003-07-21,301.061,302.571,293.544,302.571,519.36637203659
2003-07-22,302.194,302.571,295.036,297.293,190.174838583
2003-07-23,297.293,297.293,295.036,296.943,306.94886227431
2003-07-24,293.895,295.792,290.532,295.792,1856.1509099123
2003-07-25,295.792,296.943,295.792,295.792,824.09096719297
2003-07-28,293.544,301.816,286.764,298.058,471.54462900111
2003-07-29,293.544,298.058,293.544,296.557,985.35033324287
