"","czas","nazwa","cena","ilosc"
"1","09:00:01","FTPSH7",12860,1
"2","09:00:01","FW20M7",34600,1
"3","09:00:01","FW20M7",34600,1
"4","09:00:01","FW20M7",34600,1
"5","09:00:01","FW20M7",34600,1
"6","09:00:01","FW20M7",34600,1
"7","09:00:01","FW20U7",34450,1
"8","09:00:02","FW20H7",34700,5
"9","09:00:02","FW20H7",34700,5
"10","09:00:02","FW20H7",34700,5
"11","09:00:02","FW20H7",34700,7
"12","09:00:02","FW20H7",34700,7
"13","09:00:02","FW20H7",34700,6
"14","09:00:02","FW20H7",34700,5
"15","09:00:02","FW20H7",34700,8
"16","09:00:02","FW20H7",34700,10
"17","09:00:02","FW20H7",34700,10
"18","09:00:02","FW20H7",34700,10
"19","09:00:02","FW20H7",34700,10
"20","09:00:02","FW20H7",34700,10
"21","09:00:02","FW20H7",34700,10
"22","09:00:02","FW20H7",34700,10
"23","09:00:02","FW20H7",34700,9
"24","09:00:02","FW20H7",34700,8
"25","09:00:02","FW20H7",34700,1
"26","09:00:02","FW20H7",34700,1
"27","09:00:02","FW20H7",34700,1
"28","09:00:02","FW20H7",34700,1
"29","09:00:02","FW20H7",34700,1
"30","09:00:02","FW20H7",34700,1
"31","09:00:02","FW20H7",34700,1
"32","09:00:02","FW20H7",34700,1
"33","09:00:02","FW20H7",34700,200
"34","09:00:02","FW20H7",34700,5
"35","09:00:02","FW20H7",34700,4
"36","09:00:02","FW20H7",34700,4
"37","09:00:02","FW20H7",34700,4
"38","09:00:02","FW20H7",34700,4
"39","09:00:02","FW20H7",34700,4
"40","09:00:02","FW20H7",34700,3
"41","09:00:02","FW20H7",34700,3
"42","09:00:02","FW20H7",34700,2
"43","09:00:02","FW20H7",34700,2
"44","09:00:02","FW20H7",34700,2
"45","09:00:02","FW20H7",34700,2
"46","09:00:02","FW20H7",34700,2
"47","09:00:02","FW20H7",34700,2
"48","09:00:02","FW20H7",34700,2
"49","09:00:02","FW20H7",34700,1
"50","09:00:02","FW20H7",34700,1
"51","09:00:02","FW20H7",34700,1
"52","09:00:02","FW20H7",34700,1
"53","09:00:02","FW20H7",34700,1
"54","09:00:02","FW20H7",34700,1
"55","09:00:02","FW20H7",34700,1
"56","09:00:02","FW20H7",34700,1
"57","09:00:02","FW20H7",34700,1
"58","09:00:02","FW20H7",34700,1
"59","09:00:02","FW20H7",34700,1
"60","09:00:02","FW20H7",34700,1
"61","09:00:02","FW20H7",34700,1
"62","09:00:02","FW20H7",34700,1
"63","09:00:02","FW20H7",34700,1
"64","09:00:02","FW20H7",34700,1
"65","09:00:02","FW20H7",34700,1
"66","09:00:02","FW20H7",34700,1
"67","09:00:02","FW20H7",34700,5
"68","09:00:02","FW20H7",34700,50
"69","09:00:02","FW20H7",34700,20
"70","09:00:02","FW20H7",34700,20
"71","09:00:02","FW20H7",34700,15
"72","09:00:02","FW20H7",34700,14
"73","09:00:02","FW20H7",34700,12
"74","09:00:02","FW20H7",34700,12
"75","09:00:02","FW20H7",34700,12
"76","09:00:02","FW20H7",34700,5
"77","09:00:02","FW20H7",34700,2
"78","09:00:02","FW20H7",34700,2
"79","09:00:02","FW20H7",34700,2
"80","09:00:02","FW20H7",34700,2
"81","09:00:02","FW20H7",34700,2
"82","09:00:02","FW20H7",34700,2
"83","09:00:02","FW20H7",34700,2
"84","09:00:02","FW20H7",34700,2
"85","09:00:02","FW20H7",34700,2
"86","09:00:02","FW20H7",34700,1
"87","09:00:02","FW20H7",34700,1
"88","09:00:02","FW20H7",34700,1
"89","09:00:02","FW20H7",34700,1
"90","09:00:02","FW20H7",34700,1
"91","09:00:02","FW20H7",34700,1
"92","09:00:02","FW20H7",34700,1
"93","09:00:02","FW20H7",34700,1
"94","09:00:02","FW20H7",34700,1
"95","09:00:02","FW20H7",34700,1
"96","09:00:02","FW20H7",34700,1
"97","09:00:02","FW20H7",34700,1
"98","09:00:02","FW20H7",34700,1
"99","09:00:02","FW20H7",34700,1
"100","09:00:02","FW20H7",34700,1
"101","09:00:02","FW20H7",34700,1
"102","09:00:02","FW20H7",34700,1
"103","09:00:02","FW20H7",34700,1
"104","09:00:02","FW20H7",34700,1
"105","09:00:02","FW20H7",34700,2
"106","09:00:02","FW20H7",34700,2
"107","09:00:02","FW20H7",34700,2
"108","09:00:02","FW20H7",34700,2
"109","09:00:02","FW20H7",34700,2
"110","09:00:02","FW20H7",34700,1
"111","09:00:02","FW20H7",34700,1
"112","09:00:02","FW20H7",34700,1
"113","09:00:02","FW20H7",34700,1
"114","09:00:02","FTECH7",13280,1
"115","09:00:02","FTECH7",13280,1
"116","09:00:04","OW20O7290",104.9,1
"117","09:00:04","OW20O7290",104.9,10
"118","09:00:04","OW20O7290",104.9,10
"119","09:00:04","OW20O7330",700,1
"120","09:00:06","FW20H7",34690,1
"121","09:00:07","FW20H7",34710,5
"122","09:00:07","FW20H7",34690,1
"123","09:00:08","FW20H7",34720,3
"124","09:00:08","FW20H7",34720,1
"125","09:00:09","FW20H7",34710,10
"126","09:00:10","FW20H7",34730,1
"127","09:00:10","FW20H7",34720,2
"128","09:00:10","FW20H7",34720,1
"129","09:00:10","FW20H7",34720,1
"130","09:00:10","FW20H7",34690,5
"131","09:00:10","FW20H7",34710,5
"132","09:00:10","FW20H7",34700,10
"133","09:00:10","FW20H7",34720,1
"134","09:00:10","FW20H7",34720,1
"135","09:00:10","FW20H7",34720,3
"136","09:00:10","FW20H7",34720,1
"137","09:00:10","FW20H7",34720,2
"138","09:00:11","FW20H7",34710,1
"139","09:00:11","FW20H7",34730,5
"140","09:00:14","FW20H7",34730,1
"141","09:00:18","FW20H7",34720,5
"142","09:00:18","FW20H7",34730,1
"143","09:00:19","FW20H7",34730,2
"144","09:00:19","FW20H7",34730,24
"145","09:00:19","FW20H7",34720,9
"146","09:00:19","FW20H7",34720,3
"147","09:00:20","FW20H7",34730,4
"148","09:00:21","FW20H7",34730,2
"149","09:00:21","FW20H7",34730,1
"150","09:00:22","FW20H7",34700,1
"151","09:00:22","FW20H7",34720,1
"152","09:00:23","FW20H7",34700,1
"153","09:00:23","FW20H7",34710,10
"154","09:00:25","FW20H7",34730,5
"155","09:00:27","FW20H7",34710,1
"156","09:00:27","FW20H7",34720,1
"157","09:00:27","FW20H7",34730,4
"158","09:00:28","FW20U7",34460,1
"159","09:00:29","FW20H7",34700,15
"160","09:00:34","FW20H7",34740,1
"161","09:00:34","FW20H7",34740,4
"162","09:00:34","FW20H7",34730,1
"163","09:00:34","FW20H7",34730,1
"164","09:00:34","FW20H7",34720,1
"165","09:00:34","FW20H7",34730,1
"166","09:00:34","FW20H7",34740,1
"167","09:00:34","FW20H7",34740,1
"168","09:00:35","FW20H7",34710,1
"169","09:00:36","FW20H7",34700,1
"170","09:00:36","FW20H7",34700,83
"171","09:00:36","FW20H7",34710,9
"172","09:00:37","FW20M7",34610,1
"173","09:00:39","FW20M7",34610,2
"174","09:00:41","FW20H7",34690,1
"175","09:00:41","FW20H7",34690,3
"176","09:00:41","FW20H7",34690,5
"177","09:00:41","FW20H7",34690,5
"178","09:00:42","FW20H7",34700,27
"179","09:00:42","FW20H7",34690,6
"180","09:00:42","FW20H7",34690,17
"181","09:00:44","FW20H7",34680,2
"182","09:00:45","FW20H7",34700,3
"183","09:00:48","FW20H7",34700,50
"184","09:00:50","FW20H7",34690,1
"185","09:00:50","FW20H7",34690,1
"186","09:00:52","FW20H7",34700,2
"187","09:00:53","FW20H7",34720,1
"188","09:00:53","FW20H7",34700,25
"189","09:00:53","FW20H7",34700,1
"190","09:00:54","FW20H7",34700,1
"191","09:00:54","FW20H7",34720,4
"192","09:00:54","FW20U7",34470,1
"193","09:00:56","FW20H7",34720,1
"194","09:00:59","FW20H7",34700,1
"195","09:01:02","FW20H7",34730,4
"196","09:01:02","FW20H7",34720,1
"197","09:01:03","FW20H7",34700,10
"198","09:01:04","FW20H7",34700,1
"199","09:01:05","FW20H7",34700,11
"200","09:01:06","FW20H7",34700,5
"201","09:01:08","FW20H7",34680,1
"202","09:01:10","FW20H7",34700,3
"203","09:01:10","FW20H7",34700,9
"204","09:01:14","FW20H7",34700,1
"205","09:01:15","FW20H7",34710,2
"206","09:01:16","FW20H7",34700,1
"207","09:01:21","FW20H7",34710,1
"208","09:01:25","FW20H7",34700,1
"209","09:01:27","FW20H7",34700,3
"210","09:01:29","FW20H7",34720,2
"211","09:01:29","FW20H7",34720,2
"212","09:01:31","FW20H7",34700,5
"213","09:01:31","FW20H7",34700,1
"214","09:01:31","FW20H7",34700,1
"215","09:01:31","FW20H7",34700,32
"216","09:01:32","FW20H7",34690,1
"217","09:01:33","FW20H7",34700,25
"218","09:01:33","FW20H7",34700,2
"219","09:01:35","FW20H7",34700,5
"220","09:01:37","FW20H7",34690,1
"221","09:01:38","FW20H7",34700,25
"222","09:01:40","FW20H7",34700,4
"223","09:01:41","FW20H7",34700,1
