Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2023-10-17,39.7465,41.6273,39.3666,39.9318,6130080.7237117
2023-10-18,39.5705,39.9225,38.5513,38.7459,5163540.6508145
2023-10-19,38.3383,38.5236,37.4673,37.5693,2532719.1927529
2023-10-20,37.1524,37.7546,36.8373,37.0412,2162991.3761215
2023-10-23,37.0412,37.9862,36.754,37.3191,2380790.2562564
2023-10-24,37.4303,38.8293,37.4303,38.0974,3724067.3778424
2023-10-25,38.644,39.9225,38.2734,38.9405,5525655.8844925
2023-10-26,38.4679,39.8299,37.9584,39.5149,4075303.9466136
2023-10-27,39.376,39.8299,38.8571,38.9312,2448207.9730348
2023-10-30,38.959,39.9967,38.959,39.589,1976539.7590968
2023-10-31,39.589,40.8027,39.45,40.321,4436535.2010717
2023-11-02,40.6266,40.9232,39.6632,40.0616,2808498.0432683
2023-11-03,40.3302,40.7657,39.9411,40.3302,2345030.652424
2023-11-06,40.3302,40.9324,40.0801,40.3951,2570162.5665284
2023-11-07,40.1171,40.4136,39.728,40.0059,2133063.4447259
2023-11-08,39.7929,39.9781,38.6162,39.2462,3489219.2476957
2023-11-09,40.4043,40.6545,39.413,40.6545,2627462.5528933
2023-11-10,40.4414,41.3679,40.3673,40.5803,2489915.8179926
2023-11-13,40.6082,41.4513,40.321,40.5248,2222061.479606
2023-11-14,40.5433,43.3598,40.5155,43.2116,4957149.3120427
2023-11-15,43.2116,43.7119,42.4519,42.6187,3719502.8502216
2023-11-16,42.6187,44.0918,42.4704,43.4803,4110595.1170133
2023-11-17,43.3691,44.1937,43.0911,44.1751,2071179.5026253
2023-11-20,44.1751,44.9349,43.8046,44.4716,3192339.3059086
2023-11-21,44.1937,44.6291,43.6749,43.9528,2150544.4306204
2023-11-22,43.9064,44.0084,43.2023,43.647,2334728.3549207
2023-11-23,43.647,43.8879,43.0726,43.3043,1153030.5461514
2023-11-24,43.1745,43.4247,42.98,43.1005,1223161.7229532
2023-11-27,43.0077,43.2765,42.1091,42.6093,1808282.5715129
